,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
139,DSC00852_CLAHE_RGB.JPG,4,3,3561,4675,3560,4675,2356,1754,2354,1753,1266.2543188475213,1266.6593859439877
140,DSC00853_CLAHE_RGB.JPG,0,1,3784,2678,958,2678,2027,1277,1719,1276,1336.314334279177,1776.1331594224573
141,DSC00853_CLAHE_RGB.JPG,0,2,3784,695,958,696,2027,1409,1719,1406,3150.2134848292426,408.1825571971443
142,DSC00853_CLAHE_RGB.JPG,0,3,3784,4316,958,4675,2027,2027,1719,1753,532.0,3717.155498496128
143,DSC00853_CLAHE_RGB.JPG,0,4,3784,3965,958,3560,2027,2256,1719,2354,291.8938163099726,2678.363119519084
144,DSC00853_CLAHE_RGB.JPG,1,0,2678,3784,2678,958,1277,2027,1276,1719,1336.314334279177,1776.1331594224573
145,DSC00853_CLAHE_RGB.JPG,1,2,2678,695,2678,696,1277,1409,1276,1406,1987.388487437723,1986.2587948200505
146,DSC00853_CLAHE_RGB.JPG,1,3,2678,4316,2678,4675,1277,2027,1276,1753,1801.5393417852413,2053.1775373795613
147,DSC00853_CLAHE_RGB.JPG,1,4,2678,3965,2678,3560,1277,2256,1276,2354,1617.0374145331332,1392.8416995480857
148,DSC00853_CLAHE_RGB.JPG,2,0,695,3784,696,958,1409,2027,1406,1719,3150.2134848292426,408.1825571971443
149,DSC00853_CLAHE_RGB.JPG,2,1,695,2678,696,2678,1409,1277,1406,1276,1987.388487437723,1986.2587948200505
150,DSC00853_CLAHE_RGB.JPG,2,3,695,4316,696,4675,1409,2027,1406,1753,3673.358817213478,3994.1019015543407
151,DSC00853_CLAHE_RGB.JPG,2,4,695,3965,696,3560,1409,2256,1406,2354,3377.9148893955276,3016.819517306264
152,DSC00853_CLAHE_RGB.JPG,3,0,4316,3784,4675,958,2027,2027,1753,1719,532.0,3717.155498496128
153,DSC00853_CLAHE_RGB.JPG,3,1,4316,2678,4675,2678,2027,1277,1753,1276,1801.5393417852413,2053.1775373795613
154,DSC00853_CLAHE_RGB.JPG,3,2,4316,695,4675,696,2027,1409,1753,1406,3673.358817213478,3994.1019015543407
155,DSC00853_CLAHE_RGB.JPG,3,4,4316,3965,4675,3560,2027,2256,1753,2354,419.09664756473535,1266.6593859439877
156,DSC00853_CLAHE_RGB.JPG,4,0,3965,3784,3560,958,2256,2027,2354,1719,291.8938163099726,2678.363119519084
157,DSC00853_CLAHE_RGB.JPG,4,1,3965,2678,3560,2678,2256,1277,2354,1276,1617.0374145331332,1392.8416995480857
158,DSC00853_CLAHE_RGB.JPG,4,2,3965,695,3560,696,2256,1409,2354,1406,3377.9148893955276,3016.819517306264
159,DSC00853_CLAHE_RGB.JPG,4,3,3965,4316,3560,4675,2256,2027,2354,1753,419.09664756473535,1266.6593859439877
160,DSC00854_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1722,1278,1719,1276,1776.3828416194522,1776.1331594224573
161,DSC00854_CLAHE_RGB.JPG,0,2,958,1195,958,696,1722,1545,1719,1406,295.80060851864386,408.1825571971443
162,DSC00854_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1722,1754,1719,1753,3717.1377429414692,3717.155498496128
163,DSC00854_CLAHE_RGB.JPG,0,4,958,3561,958,3560,1722,2355,1719,2354,2678.861325264897,2678.363119519084
164,DSC00854_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1278,1722,1276,1719,1776.3828416194522,1776.1331594224573
165,DSC00854_CLAHE_RGB.JPG,1,2,2678,1195,2678,696,1278,1545,1276,1406,1506.843721160227,1986.2587948200505
166,DSC00854_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1278,1754,1276,1753,2052.945444964381,2053.1775373795613
167,DSC00854_CLAHE_RGB.JPG,1,4,2678,3561,2678,3560,1278,2355,1276,2354,1392.7016909589793,1392.8416995480857
168,DSC00854_CLAHE_RGB.JPG,2,0,1195,958,696,958,1545,1722,1406,1719,295.80060851864386,408.1825571971443
169,DSC00854_CLAHE_RGB.JPG,2,1,1195,2678,696,2678,1545,1278,1406,1276,1506.843721160227,1986.2587948200505
170,DSC00854_CLAHE_RGB.JPG,2,3,1195,4675,696,4675,1545,1754,1406,1753,3486.2703566992623,3994.1019015543407
171,DSC00854_CLAHE_RGB.JPG,2,4,1195,3561,696,3560,1545,2355,1406,2354,2500.8110684335993,3016.819517306264
172,DSC00854_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1754,1722,1753,1719,3717.1377429414692,3717.155498496128
173,DSC00854_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1754,1278,1753,1276,2052.945444964381,2053.1775373795613
174,DSC00854_CLAHE_RGB.JPG,3,2,4675,1195,4675,696,1754,1545,1753,1406,3486.2703566992623,3994.1019015543407
175,DSC00854_CLAHE_RGB.JPG,3,4,4675,3561,4675,3560,1754,2355,1753,2354,1265.7792066549364,1266.6593859439877
176,DSC00854_CLAHE_RGB.JPG,4,0,3561,958,3560,958,2355,1722,2354,1719,2678.861325264897,2678.363119519084
177,DSC00854_CLAHE_RGB.JPG,4,1,3561,2678,3560,2678,2355,1278,2354,1276,1392.7016909589793,1392.8416995480857
